recv_ts_utc,exch_ts_ms,symbol,side,size,price,raw_json
2026-09-02T00:00:00.987589Z,1788307200777,XAUUSDT,Buy,0.107,4310.40,"{""T"":1788307200777,""s"":""XAUUSDT"",""S"":""Buy"",""v"":""0.107"",""p"":""4310.40""}"
2026-09-02T00:00:21.313886Z,1788307220834,SKRUSDT,Sell,3450,0.023572,"{""T"":1788307220834,""s"":""SKRUSDT"",""S"":""Sell"",""v"":""3450"",""p"":""0.023572""}"
2026-09-02T00:01:24.487378Z,1788307283999,XAUUSDT,Buy,0.092,4307.21,"{""T"":1788307283999,""s"":""XAUUSDT"",""S"":""Buy"",""v"":""0.092"",""p"":""4307.21""}"
2026-09-02T00:02:20.313793Z,1788307339825,SKRUSDT,Sell,11920,0.023728,"{""T"":1788307339825,""s"":""SKRUSDT"",""S"":""Sell"",""v"":""11920"",""p"":""0.023728""}"
2026-09-02T00:02:38.488338Z,1788307358113,XAUUSDT,Buy,0.072,4306.21,"{""T"":1788307358113,""s"":""XAUUSDT"",""S"":""Buy"",""v"":""0.072"",""p"":""4306.21""}"
2026-09-02T00:02:38.488338Z,1788307358274,XAUUSDT,Buy,0.022,4305.72,"{""T"":1788307358274,""s"":""XAUUSDT"",""S"":""Buy"",""v"":""0.022"",""p"":""4305.72""}"
2026-09-02T00:02:38.987380Z,1788307358692,XAUUSDT,Buy,0.726,4306.23,"{""T"":1788307358692,""s"":""XAUUSDT"",""S"":""Buy"",""v"":""0.726"",""p"":""4306.23""}"
2026-09-02T00:02:38.987380Z,1788307358837,XAUUSDT,Buy,0.072,4306.61,"{""T"":1788307358837,""s"":""XAUUSDT"",""S"":""Buy"",""v"":""0.072"",""p"":""4306.61""}"
2026-09-02T00:02:38.987847Z,1788307358692,CLUSDT,Sell,9.20,91.180,"{""T"":1788307358692,""s"":""CLUSDT"",""S"":""Sell"",""v"":""9.20"",""p"":""91.180""}"
2026-09-02T00:02:39.988171Z,1788307359502,XAUUSDT,Buy,0.893,4304.85,"{""T"":1788307359502,""s"":""XAUUSDT"",""S"":""Buy"",""v"":""0.893"",""p"":""4304.85""}"
