recv_ts_utc,exch_ts_ms,symbol,side,size,price,raw_json
2026-09-20T00:00:23.830692Z,1789862423534,FARTCOINUSDT,Buy,10941,0.16791,"{""T"":1789862423534,""s"":""FARTCOINUSDT"",""S"":""Buy"",""v"":""10941"",""p"":""0.16791""}"
2026-09-20T00:01:00.498789Z,1789862459980,FUSDT,Sell,65624,0.004281,"{""T"":1789862459980,""s"":""FUSDT"",""S"":""Sell"",""v"":""65624"",""p"":""0.004281""}"
2026-09-20T00:01:10.493368Z,1789862469995,BANKUSDT,Sell,38020,0.04026,"{""T"":1789862469995,""s"":""BANKUSDT"",""S"":""Sell"",""v"":""38020"",""p"":""0.04026""}"
2026-09-20T00:01:13.993699Z,1789862473611,BANKUSDT,Sell,680,0.04042,"{""T"":1789862473611,""s"":""BANKUSDT"",""S"":""Sell"",""v"":""680"",""p"":""0.04042""}"
2026-09-20T00:01:14.517381Z,1789862474088,AVAXUSDT,Sell,243.8,10.240,"{""T"":1789862474088,""s"":""AVAXUSDT"",""S"":""Sell"",""v"":""243.8"",""p"":""10.240""}"
2026-09-20T00:01:24.517962Z,1789862484268,AVAXUSDT,Sell,44.4,10.246,"{""T"":1789862484268,""s"":""AVAXUSDT"",""S"":""Sell"",""v"":""44.4"",""p"":""10.246""}"
2026-09-20T00:01:40.329598Z,1789862499756,ENAUSDT,Buy,680,0.20158,"{""T"":1789862499756,""s"":""ENAUSDT"",""S"":""Buy"",""v"":""680"",""p"":""0.20158""}"
2026-09-20T00:02:05.637210Z,1789862525237,PIEVERSEUSDT,Sell,135,1.79300,"{""T"":1789862525237,""s"":""PIEVERSEUSDT"",""S"":""Sell"",""v"":""135"",""p"":""1.79300""}"
2026-09-20T00:02:19.339198Z,1789862538964,XRPUSDT,Buy,162.3,1.4023,"{""T"":1789862538964,""s"":""XRPUSDT"",""S"":""Buy"",""v"":""162.3"",""p"":""1.4023""}"
2026-09-20T00:02:45.828659Z,1789862565246,ENAUSDT,Buy,1006,0.20126,"{""T"":1789862565246,""s"":""ENAUSDT"",""S"":""Buy"",""v"":""1006"",""p"":""0.20126""}"
